name,type1,type2,hp,atk,def,spatk,spdef,speed,title,description1,description2,forms,ability1,ability2,abilityh,sigmove
Springbun,Grass,,50,35,40,65,50,70,Bunny,"Its fluffy tail releases a potent pheromone mimicking the scent of spring. Wherever it hops, dormant buds burst into full bloom.","Its oversized ears can pick up even the faintest rustling of leaves. If danger is near, it burrows into the nearest underbrush.",,Overgrow,,Cute Charm,
Snapbun,Grass,,80,50,60,85,80,55,Thorny,"Its cottony mane crackles with static energy before battle. Highly territorial, it will charge at foes twice its size without hesitation.",The thorns on its back stiffen when it senses danger. Farmers once tamed Snapbun to guard their crops.,,Overgrow,,Cute Charm,
Faestalk,Grass,Fairy,120,70,80,110,110,40,Beanstalk,"They store nutrients in their tails, which have no limit on how long they can grow. There is a well-known fairytale about a Faestalk so tall it reached the clouds.",The berries nestled in its cotton-like fur are prized for their ambrosial taste and potent regenerative properties.,,Overgrow,,Dragon's Maw,Bean Barrage
Basilly,Fire,,45,60,40,60,40,65,Timid,"When Basilly are frightened, they will curl up and hold their tails in their mouth until their trainer rescues them.","Though its stinger contains a venom capable of causing feverish hallucinations, Basilly is often too paralyzed by fear to use it.",,Blaze,,Rattled,
Knaviper,Fire,,55,70,45,90,50,100,Cowardly,Knaviper terrorizes smaller Pokemon with glee but flees the moment a fair fight presents itself. It relies on bluffing to survive.,"They raid other pokemon nests for eggs, and will sometimes leave their own eggs in their place.",,Blaze,,Rattled,
Verkillion,Fire,Poison,70,120,65,100,70,110,Craven,This Pokemon's deadly toxins and ruthless personality has led people to believe it can kill with just one glare. ,"Despite it's fearsome reputation, it loves praise from others and will put itself in danger for approval.",,Blaze,,Merciless,Venom Spear
Purluxe,Water,,50,55,60,45,50,40,Pampered,"Its fur maintains a supernatural softness due to a rigorous, hours-long grooming routine. It refuses to walk on dirty surfaces.","Considered a status symbol, Purluxe are traded for small fortunes. Genetic markers suggest they descended from the pets of ancient royalty.",,Torrent,,Stamina,
Lyonite,Water,,70,85,80,50,65,60,Earthen,The armor on its flanks is sculpted from river clay. Lyonite meticulously carves complex reliefs into the mud before it hardens.,"If any part of its stone armor breaks, Lyonite will simply rebuild the broken parts to be more detailed and sturdy.",,Torrent,,Stamina,
Enkidros,Water,Ground,80,125,100,55,95,80,Warrior,"In antiquity, these Pokemon were worshiped as demigods possessing divine strength. They can cleave boulders with a single strike.","Enkidros adheres to a strict code of honor, refusing to battle weaker foes. However, it is obstinate and will fight a losing battle to the death.",,Torrent,,Stamina,Crushing Cleave
Possolo,Normal,,64,59,57,34,37,20,Lonely,"Due to their meek nature, they play dead when they sense danger. This act is so convincing that trainers will often try to heal their perfectly healthy Possolo.","Though it appears solitary, those who observe Possolo for long enough notice strange movements in its shadow.",,Schrödinger,,Run Away,
Oposse,Normal,Ghost,80,108,61,58,60,46,Never Alone,Oposse have the uncanny ability to walk between the worlds of the living and dead. It can see and commune with ghosts and spectres.,"Despite being surrounded by the spirits of its departed friends and family, Oposse enjoy the company. The more spirits that accompany an Oposse, the longer they live.",,Schrödinger,,Run Away,
Tirakitsu,Fairy,Normal,49,60,55,36,63,78,Whipped,"It likes to spend its days lazing about, snacking on berries. The sweet juices in turn make Tirakitsu's tail grow more fluffy as well as release a sweet odor.","When unfurled, its tail is three times the length of its body. Poachers often target Tirakitsu for this luxurious, velvet-like fur.",,Sweet Veil,Ripen,Fluffy,Snack Break
Asterbat,Fairy,Flying,56,83,68,66,84,123,Sugar Glider,Asterbat use the membrane between its arms and legs to glide across treetops. It will harvest berries and deliver them to others out of kindness.,"An acrobat of the forest, its prehensile tail allows it to navigate complex branch systems at breakneck speeds.",,Sweet Veil,Ripen,Fluffy,Snack Break
Wittern,Flying,,50,60,30,20,25,60,Heron,Its downy coat is an insulator of unrivaled quality. Garments woven from shed Wittern feathers are sold as high-end luxury goods.,Its coloration allows to to hide better in snowy biomes as well as in water.,,Early Bird,,,
Aerin,Flying,,63,98,53,33,43,93,Heron,"When hunting, Aerin spreads its wings to cast a perfect shadow, eliminating surface glare to spot fish deep below the water.",It has the ability to retract its neck by folding it into an S-shape. The neck is always retracted during flight.,,Early Bird,,,
Zephyrin,Flying,,80,120,70,50,60,105,Heron,Its feathers are coated in a fine oil that gathers mist. It can then spread this mist to hide itself before striking.,Its lance-like beak is designed to skewer prey with surgical precision. It can remain motionless for days waiting for a target.,,Stealth Strike,,,
